Fixed/Offset Slit,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,7.9999709,
Detector,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,PMT-900,

510.00,4.40150039E+4,3.96436680E+4,4.72239219E+4,4.77462734E+4,5.08546445E+4,5.48103047E+4,5.80915664E+4,7.79115625E+4,8.99624688E+4,9.33307891E+4,9.67555156E+4,7.17217969E+4,3.28947656E+4,1.15126162E+4,6.33077393E+3,4.89859424E+3,4.26588477E+3,4.13836182E+3,3.63317529E+3,3.03112012E+3,2.48669580E+3,2.15685303E+3,2.87416895E+3,3.33153467E+3,2.91831152E+3,3.11204810E+3,3.41123633E+3,3.13657178E+3,2.78588403E+3,2.11884131E+3,1.73749890E+3,
515.00,4.45284648E+4,4.04341133E+4,4.78885547E+4,4.80155898E+4,5.09945703E+4,5.45413984E+4,5.88123320E+4,8.01682578E+4,9.50631641E+4,9.82441328E+4,1.02643375E+5,8.06459141E+4,3.85895586E+4,1.26870303E+4,6.72906787E+3,5.21861621E+3,4.67363428E+3,4.36874902E+3,4.00542773E+3,3.36516895E+3,2.66520361E+3,2.38064429E+3,3.06282471E+3,3.49220459E+3,3.15556055E+3,3.29529956E+3,3.62940283E+3,3.23940405E+3,2.90911182E+3,2.51784253E+3,1.81025513E+3,
520.00,4.19723281E+4,3.79500977E+4,4.50252695E+4,4.52270430E+4,4.77379688E+4,5.11641211E+4,5.54975820E+4,7.62153750E+4,8.96272188E+4,9.35835156E+4,9.77719063E+4,7.89676406E+4,3.95378906E+4,1.31678672E+4,6.64393750E+3,5.21439648E+3,4.53259473E+3,4.41126855E+3,3.86529980E+3,3.38658813E+3,2.73643701E+3,2.40542725E+3,3.10964746E+3,3.50659570E+3,3.38131323E+3,3.47230786E+3,3.65034106E+3,3.35230029E+3,3.00546509E+3,2.48059668E+3,1.99265369E+3,
525.00,3.85734023E+4,3.46425977E+4,4.07457578E+4,4.13392188E+4,4.33649219E+4,4.68941484E+4,4.97586445E+4,6.90576797E+4,8.21041641E+4,8.53949063E+4,8.88953516E+4,7.31776250E+4,3.79840547E+4,1.39428369E+4,6.94469238E+3,5.63031299E+3,5.28492871E+3,5.08071338E+3,4.61745996E+3,4.01851953E+3,3.72110522E+3,3.06048901E+3,3.44699072E+3,3.68958203E+3,3.35105054E+3,3.36749731E+3,3.44562012E+3,3.28663354E+3,3.06048901E+3,2.43276685E+3,2.02159485E+3,
530.00,3.65918672E+4,3.24054297E+4,3.90099063E+4,3.90383359E+4,4.16951953E+4,4.37208906E+4,4.72193008E+4,6.45592461E+4,7.64063594E+4,7.88002344E+4,8.23540859E+4,6.97990469E+4,4.05963438E+4,1.95376484E+4,1.29402803E+4,1.14035947E+4,1.12699707E+4,1.16623154E+4,1.06217480E+4,9.90671387E+3,1.04028311E+4,8.44679199E+3,5.58807422E+3,3.90781396E+3,3.38326563E+3,3.29086548E+3,3.41311792E+3,3.10322217E+3,2.96533276E+3,2.33985522E+3,2.05412549E+3,
535.00,3.77566016E+4,3.33881328E+4,3.93591133E+4,4.04589922E+4,4.28243242E+4,4.61786602E+4,4.90540156E+4,6.74976875E+4,7.78874063E+4,8.22218750E+4,8.60744141E+4,7.31242188E+4,5.01228516E+4,3.29520234E+4,2.75206309E+4,2.53282637E+4,2.54953164E+4,2.83041465E+4,2.55514922E+4,2.38041035E+4,2.83824980E+4,2.73506230E+4,1.57723252E+4,6.69980127E+3,3.71948364E+3,3.46668896E+3,3.59678223E+3,3.24346069E+3,2.99214429E+3,2.44516138E+3,1.98244336E+3,
540.00,3.96240117E+4,3.45339688E+4,4.11212656E+4,4.10703828E+4,4.48913828E+4,4.76468867E+4,5.16560078E+4,7.07394297E+4,8.20235703E+4,8.67527969E+4,9.06632344E+4,7.55241641E+4,5.50437148E+4,4.01960820E+4,3.49410508E+4,3.25525371E+4,3.22117617E+4,3.73665664E+4,3.40729180E+4,3.03259316E+4,3.87635938E+4,4.28236016E+4,2.79790527E+4,1.13427344E+4,4.41620313E+3,3.73156836E+3,3.73002637E+3,3.51569238E+3,3.24430566E+3,2.45481689E+3,2.16184253E+3,
545.00,3.87400430E+4,3.41726445E+4,4.02861055E+4,4.09006719E+4,4.40716250E+4,4.74034648E+4,5.14978750E+4,7.17591719E+4,8.33988828E+4,8.85502813E+4,9.14155625E+4,7.41691641E+4,5.01770469E+4,3.51701055E+4,3.07056680E+4,2.82506309E+4,2.85466504E+4,3.23949141E+4,2.98771328E+4,2.69474980E+4,3.31220938E+4,3.91872930E+4,2.90292930E+4,1.32694307E+4,5.35249707E+3,4.24242090E+3,4.05097314E+3,3.68094775E+3,3.10982178E+3,2.77840771E+3,2.11879736E+3,
550.00,3.84515273E+4,3.42553789E+4,4.03149883E+4,4.07438555E+4,4.36685430E+4,4.64872813E+4,5.14671602E+4,7.32198672E+4,8.52415391E+4,8.95705469E+4,9.39298359E+4,7.53423281E+4,4.63460078E+4,3.03064570E+4,2.54863516E+4,2.36329824E+4,2.38078926E+4,2.66972637E+4,2.44553945E+4,2.22992969E+4,2.70807207E+4,3.09892773E+4,2.37389375E+4,1.20939922E+4,5.22374365E+3,4.21296777E+3,4.14233105E+3,3.98592139E+3,3.27282837E+3,2.65055371E+3,2.09050659E+3,
555.00,3.74118516E+4,3.32231250E+4,3.88698672E+4,3.92894375E+4,4.18016250E+4,4.51459648E+4,5.01808320E+4,7.16139766E+4,8.43375078E+4,8.93741172E+4,9.34457188E+4,7.56768359E+4,4.60445508E+4,2.81060918E+4,2.34296094E+4,2.11324531E+4,2.10118242E+4,2.38404414E+4,2.16534219E+4,1.94733945E+4,2.35956914E+4,2.68963242E+4,1.99086992E+4,1.00627393E+4,4.98241943E+3,4.07334668E+3,4.07509473E+3,3.87579810E+3,3.37405957E+3,2.63106714E+3,2.17827881E+3,
